name;count
ANDREI;17578
ANATOLII;17577
BOGUMIŁ;17563
SEWERYN;17375
KONSTANTY;17352
BOŻENNA;17200
IZABELLA;17032
ADRIANA;16961
JOACHIM;16546
ALLA;16300
ILLIA;16224
PAULA;16140
WALENTYNA;16042
TOBIASZ;15897
ANTON;15871
YEVHEN;15797
LESŁAW;15731
DAVID;15626
HILDEGARDA;15342
ADOLF;15318
ERNEST;15305
KALINA;15293
ALFONS;15247
GRACJAN;15155
LILIIA;15048
WALENTY;14992
TAMARA;14890
NAZAR;14762
ALEXANDER;14728
RUDOLF;14524
OLIVIA;14509
PETRO;14434
MELANIA;14360
YEVHENII;14328
SIARHEI;14294
MIA;14226
ALONA;13930
MARIKA;13869
FLORIAN;13843
DZMITRY;13772
SONIA;13768
YELYZAVETA;13730
KORNEL;13705
BENEDYKT;13699
ELWIRA;13680
STANISLAV;13608
POLINA;13566
TATIANA;13256
HIERONIM;13184
DANYLO;13138
MARZANNA;13075
OLIVIER;12937
VALERII;12903
OTYLIA;12679
KHRYSTYNA;12675
LUIZA;12561
MARK;12395
ROMANA;12306
TARAS;12301
JULIUSZ;12246
ZENOBIA;12216
ALBINA;12164
ALEX;12042
ANDŻELIKA;12006
ARLETA;11718
IVANNA;11693
ZENONA;11597
TEODOZJA;11472
MARIANA;11412
VICTORIA;11381
KOSTIANTYN;11335
GUSTAW;11129
LIWIA;11099
JĘDRZEJ;11008
TEODORA;10765
AUGUSTYN;10724
SALOMEA;10679
VIACHESLAV;10623
ZYGFRYD;10586
RAJMUND;10582
VIRA;10369
NICOLE;10268
YEVHENIIA;10212
JUDYTA;10132
ANHELINA;10105
TEOFIL;9964
MILAN;9935
BOLESŁAWA;9813
ROMUALDA;9779
LEOPOLD;9722
NIKITA;9490
DARYNA;9480
LUDMIŁA;9467
KYRYLO;9400
OLIVER;9294
ELENA;9287
ALBIN;9261
ALEKSY;9228
DANIIL;9168
NATASZA;9154
DENIS;9134
PAVEL;9042
ALEKS;9025
JOWITA;9017
MYKYTA;9005
VANESSA;9004
