surname;count
ŁANGOWSKI;1204
MARCISZEWSKI;1204
POTOCZNA;1203
SICIŃSKA;1203
PACZYŃSKI;1203
SULOWSKI;1203
BULANDA;1202
KURPIEL;1202
DZIEKOŃSKA;1201
CHUDZIAK;1201
GRZYMAŁA;1201
SPAŁEK;1201
CHWAŁEK;1200
KRUCZYŃSKA;1200
KRZYŻEWSKI;1200
PIETRUCZUK;1200
DANISZEWSKA;1199
KSIĘŻOPOLSKA;1199
SZELĄGOWSKA;1199
KLUZA;1199
KROCZEK;1199
WOJTYRA;1199
LASZCZAK;1198
TYL;1198
FABISZEWSKA;1197
KLAWIKOWSKA;1197
KRAJNIK;1197
POCIECHA;1197
ŚWIĘS;1197
TOMIAK;1197
PĘCZEK;1196
WYRWAS;1196
MOROZOVA;1195
MILANOWSKI;1195
OLESIAK;1195
RYBSKI;1195
MANIKOWSKA;1194
ZAMORSKA;1194
JĘDRZEJOWSKI;1194
JURASZ;1194
STERNIK;1194
CIEPLAK;1193
DROGOSZ;1193
PASTUSIAK;1193
SMOCZYŃSKI;1193
BORATYŃSKA;1192
STRÓŻYŃSKA;1192
GRYCZKA;1192
KĄCKI;1192
KRUCZYŃSKI;1192
RATAJSKI;1192
SPYRKA;1192
ZABAWA;1192
SITKIEWICZ;1191
SYCH;1191
WARDAK;1191
DRABEK;1190
KOTYNIA;1190
ŁABĘDŹ;1189
SKUPIŃSKA;1189
KIDA;1189
POPIELARZ;1189
KOPACZEWSKA;1188
LEŚNIOWSKA;1188
PODGÓRNY;1188
BONDARCHUK;1187
MAŃKO;1187
CHOJNICKA;1186
HARASIMOWICZ;1186
RABIEGA;1186
YAKOVENKO;1186
SZEFLER;1186
HONCHARENKO;1185
UJMA;1185
CHROMIŃSKI;1185
LESIUK;1185
ŚLIWOWSKI;1185
TROJNAR;1185
WIĘCŁAWSKI;1185
MOSAKOWSKA;1184
TOMECKA;1184
SOBÓTKA;1184
VOLKOV;1183
BURSKA;1182
JACZEWSKA;1182
GOŁAŚ;1182
BORYCKI;1181
FILIPCZUK;1181
KAPROŃ;1181
ŚLĄZAK;1180
VLASENKO;1180
KARPIEL;1180
MASNY;1180
KOZINA;1179
SKRZYPIŃSKA;1179
ŁAKOMSKI;1179
MERTA;1179
TOMECKI;1179
MARYNOWSKA;1178
SULOWSKA;1178
TALIK;1178
WOŁYNIEC;1178
KOŁECKA;1177
GOŁUCH;1177
JURECZKO;1177
JACHIMOWICZ;1176
YAVORSKA;1176
HANKUS;1176
PŁAWECKI;1176
MARCISZEWSKA;1175
BORATYŃSKI;1175
CHOROMAŃSKI;1175
TARASENKO;1174
NAKIELSKI;1174
MOSTOWSKA;1173
GAŁAN;1173
SZLĘZAK;1173
WŁODKOWSKI;1173
WOŁOSZ;1173
BORYCKA;1172
GULCZYŃSKA;1172
WALIGÓRSKI;1172
KOSIOROWSKA;1171
MAJCHRZYK;1171
RACHWALSKI;1171
RUDEK;1171
WZOREK;1171
SZLENDAK;1170
CHILIŃSKI;1169
KIEŁPIŃSKI;1169
LEŚNIOWSKI;1169
MARCINIEC;1169
SOŚNICKA;1168
WŁODKOWSKA;1168
BOCZAR;1168
GRABAREK;1168
TUTAJ;1168
ZUBER;1167
BŁASZCZUK;1167
HANDZLIK;1167
KUŚMIERSKI;1167
OKONIEWSKI;1167
STADNICKI;1167
KOTKOWSKA;1166
WITECKA;1166
LATUSEK;1166
SZTANDERA;1166
KAISER;1165
ROSSA;1165
ANDRYSIAK;1165
CZAPNIK;1165
GUŁA;1165
KUDELSKI;1165
SZCZUROWSKI;1165
TOPOREK;1165
DOBRZYCKI;1164
KARSKI;1164
MARSZAŁKOWSKI;1164
MATUSIEWICZ;1164
OLECHOWSKI;1164
SÓWKA;1164
ŻUBER;1164
FIREK;1163
GLINKOWSKI;1163
JAKUBAS;1163
KORBA;1163
KORYTKOWSKI;1163
ŁAZARCZYK;1163
ŁAZOWSKI;1163
RUCKI;1163
JĘDRZEJOWSKA;1162
BOJAR;1162
GRZEGORZEK;1162
JANICZEK;1162
ORSZULAK;1162
PAPUGA;1162
PATEL;1162
GLINKOWSKA;1161
GŁOWA;1161
RUCKA;1161
DMITRUK;1161
KURZAWSKI;1161
WAŚ;1161
ZWIERZ;1161
HONCHAROVA;1160
HONCHARUK;1160
ZDUN;1160
ZMYSŁOWSKA;1160
BŁAŻEWICZ;1160
KOŹMIŃSKI;1160
SOŚNICKI;1160
ZMYSŁOWSKI;1160
ANTOSIEWICZ;1159
ŁAKOMSKA;1159
PŁAWECKA;1159
WIKTORSKA;1159
ZIARKO;1159
STASIEWICZ;1158
PŁUSA;1158
SKRZYPIŃSKI;1158
CIECHANOWICZ;1157
DEMCHUK;1157
DRAGON;1157
SIMIŃSKA;1157
WIKTOROWSKA;1157
CUPIAŁ;1157
NIEDZIAŁKOWSKI;1157
SZELĄGOWSKI;1157
BACA;1156
JARCZEWSKA;1155
CZEPIEL;1155
MOŚ;1155
ORZECH;1155
ROWICKI;1155
GRACZ;1154
JÓZWIK;1154
KITOWSKI;1154
WACŁAWIK;1154
STADNICKA;1153
CHROMIK;1153
JASIEWICZ;1153
POPKO;1153
STRZESZEWSKI;1153
SZCZYRBA;1153
WARDĘGA;1153
ADAM;1152
KIJEK;1152
RAJ;1152
JURCZYŃSKA;1151
LUDWIG;1151
CZERW;1151
POLUS;1151
WYSOCZAŃSKI;1151
TURCZYŃSKA;1150
BORYCZKA;1150
GONCIARZ;1150
MANIAK;1150
MUSIAŁEK;1150
KAMIEŃSKA;1149
ŁANGOWSKA;1149
OLECHOWSKA;1149
DYGAS;1149
GRZYWIŃSKI;1149
JERZAK;1149
KOŁODZIEJEK;1149
MARYNOWSKI;1149
PALUSZEK;1149
WIKTORSKI;1149
DYJAK;1148
EJSMONT;1148
GULCZYŃSKI;1148
ŁUSZCZEK;1148
PŁOCHOCKI;1148
POTEMPA;1148
SIEMIENIUK;1148
ZIMA;1148
DEMCHENKO;1147
KUDELSKA;1147
RĘKAS;1147
GMYREK;1147
GRABKA;1147
BUDZISZEWSKA;1146
DUŚ;1146
FERENS;1146
UKLEJA;1146
WYCISK;1146
ZAMBRZYCKI;1146
BURSKI;1145
JAMKA;1145
MATEJEK;1145
TOPOLEWSKI;1145
STUDNICKA;1144
DOBRZYCKA;1143
OKONIEWSKA;1143
ŚLIWOWSKA;1143
KOCIUBA;1143
KOMARNICKI;1143
ŁOZOWSKA;1142
ZAMBRZYCKA;1142
BIENIASZ;1142
BUDZISZEWSKI;1142
GROMADA;1142
JARZĘBOWSKI;1142
SZCZAWIŃSKA;1141
GAWRYLUK;1141
MOSKALENKO;1140
SZUMILAS;1140
TRZEBIATOWSKA;1140
BĄBA;1140
KAPTUR;1140
SOBCZUK;1140
JARZĘBOWSKA;1139
MAKARENKO;1139
NIEDZIAŁKOWSKA;1139
BURAS;1139
JACZEWSKI;1139
ŁOZOWSKI;1139
WAL;1139
WIRKUS;1139
HOLUB;1138
DZIUK;1138
SZCZECH;1138
BĘTKOWSKA;1137
KOŹMIŃSKA;1137
MENDYK;1137
SKURA;1137
SZYPULSKI;1137
CHOROMAŃSKA;1136
SZCZUROWSKA;1136
ZINCHENKO;1136
ŁAWICKI;1136
PAPIERZ;1136
PODRAZA;1136
KARSKA;1135
KLASA;1135
KLIMIUK;1135
ŁUBA;1135
MUSIAŁOWSKI;1135
SZUL;1135
TROCHA;1135
WOREK;1135
ŁAZOWSKA;1134
USZYŃSKA;1134
JACKOWIAK;1134
RZOŃCA;1134
ULANOWSKI;1134
WOJNA;1134
KRZYŻEWSKA;1133
DEMIANIUK;1133
CHROMIŃSKA;1132
KRZYSIAK;1132
RAMS;1132
STRUK;1132
BABIAK;1132
GNIAZDOWSKI;1132
HABER;1132
MARSZAŁKOWSKA;1131
FRĄCZAK;1131
GOSK;1131
GRZEGRZÓŁKA;1131
MOSTOWSKI;1131
STUDNICKI;1131
CZERNICKA;1130
KOBYLAŃSKA;1130
ŁUKA;1130
BEM;1129
LEVYTSKA;1129
POLITOWSKA;1129
ROGIŃSKA;1129
CZYSZCZOŃ;1129
KAMIEŃSKI;1129
PAWLICA;1129
KĄCKA;1128
MISHCHENKO;1128
RACHWALSKA;1128
SIENNICKA;1128
CHABROS;1128
CIEPIELA;1128
CZERNICKI;1128
GRABEK;1128
KARASZEWSKI;1128
MICEK;1128
USZYŃSKI;1128
BERENT;1127
JACHOWICZ;1127
WYSOCZAŃSKA;1127
CHEN;1127
GAWLAS;1127
KOTKOWSKI;1127
KARASZEWSKA;1126
ROMANOVA;1126
KABACIŃSKI;1126
ŚWIDZIŃSKA;1125
TERESHCHENKO;1125
CELEJ;1125
DAMPC;1125
JOŃSKI;1125
OLEJARCZYK;1125
ŚWIDZIŃSKI;1125
RYBSKA;1124
JAROSZYŃSKI;1124
JANUSZEK;1123
KORYTKOWSKA;1122
ŚWIERC;1122
BĘTKOWSKI;1122
JACHIMOWSKI;1122
FIL;1121
KAPCZYŃSKI;1121
HRYNIEWICKI;1120
RODZIK;1120
SŁAWEK;1120
ZAMORSKI;1119
BARGIEL;1118
KURZAWSKA;1118
OKRASA;1118
WRZEŚNIEWSKA;1118
BARA;1118
JABŁONKA;1118
KŁECZEK;1118
SELIGA;1118
SZCZYPIOR;1118
GRZONKA;1117
JĘDRYKA;1117
SMOŁKA;1117
WIELOCH;1117
WITECKI;1117
KIEŁPIŃSKA;1116
KOPACKA;1116
MALEWSKA;1116
KALINA;1116
ŁABA;1116
SŁABOŃ;1116
STRYCZEK;1116
SPRINGER;1115
BARCIK;1115
GRZESIUK;1115
MALEWSKI;1115
WILGA;1115
DERKACZ;1114
KAPCZYŃSKA;1114
HOŁUB;1114
STĘPNIK;1114
GRZYWIŃSKA;1113
LISIEWICZ;1113
MAC;1113
MARKUSZEWSKI;1113
POSTEK;1113
BOHDAN;1112
JACEWICZ;1112
ZIEMSKA;1112
FUDAŁA;1112
RUTECKI;1112
SIENNICKI;1112
STOLC;1112
ZAPOTOCZNY;1112
BANASZEWSKA;1111
BIGAJ;1111
LATAŁA;1111
PAŚKO;1111
SMOTER;1111
TOMICZEK;1111
KAMPA;1110
FORNALCZYK;1110
WRZEŚNIEWSKI;1110
KITOWSKA;1109
KUCZMA;1109
LENCZEWSKA;1109
STRZESZEWSKA;1109
ANTOSIAK;1109
MIESZCZAK;1109
NAPIERAJ;1109
WOLSZCZAK;1109
MAŁYSKA;1108
BRYJA;1108
JÓZEFOWSKI;1108
KOPACKI;1108
LENCZEWSKI;1108
TURCZYŃSKI;1108
BENTKOWSKA;1107
KABACIŃSKA;1107
SNARSKA;1107
PARUCH;1107
PASIERB;1107
SZOTA;1107
AKSAMIT;1106
JOŃSKA;1106
KORDOWSKA;1106
POPIELA;1106
PRUSZKOWSKI;1106
SKOP;1106
WRONOWSKI;1106
BŁACHNIO;1105
CHLUDZIŃSKI;1105
MAJCHERCZYK;1105
TRZEBIATOWSKI;1105
ZIEMSKI;1105
FALIŃSKI;1104
ŁYSIK;1104
BARTECKA;1103
WOJCIECHOWICZ;1103
WYSZKOWSKA;1103
NIZIO;1103
SIERANT;1103
SZYPULSKA;1102
KARGUL;1102
RĄPAŁA;1102
SZYNAL;1102
PRUSIŃSKI;1101
PSIUK;1101
BEDNORZ;1100
MARKS;1100
CIĘŻKI;1100
JARCZEWSKI;1100
KRAMEK;1100
POLITOWSKI;1100
JURECKI;1098
ULANOWSKA;1097
GRZĄDZIEL;1097
LIPNICKI;1097
GUMIENNA;1096
TOPOLEWSKA;1096
PŁOSKI;1096
ROWICKA;1095
SYGUŁA;1095
BILA;1094
CEGLARSKI;1094
DONIEC;1094
KORDOWSKI;1094
WOJTANOWSKI;1094
BANASZEWSKI;1093
KNOPIK;1092
JEZIOROWSKI;1092
KLUKOWSKI;1092
SZTUKA;1092
TOBOLSKI;1092
TYSZKO;1092
LIPNICKA;1091
ŁAWICKA;1091
ROGIŃSKI;1091
CIOCH;1090
PLEWKA;1090
SAWIŃSKI;1090
BABENKO;1089
KONIECZKO;1089
ABRAMOWSKI;1089
CZERNY;1089
GLIWA;1089
MRÓZEK;1089
RZEPKOWSKI;1089
WIDAWSKI;1089
TRUSZCZYŃSKA;1088
WOJNICKA;1088
DZIĘGIEL;1088
KĘSY;1088
MADEJCZYK;1088
JEZIOROWSKA;1087
LASOCKA;1087
SZUMOWSKI;1087
SZMIGIELSKA;1086
JACHYM;1086
KIERZEK;1086
ŁUKASZEK;1086
SNARSKI;1086
STRYJEWSKI;1086
KUSA;1085
RUTECKA;1085
SAWIŃSKA;1085
BENTKOWSKI;1085
CHROBOK;1085
MACZUGA;1085
PETRUK;1084
KAWAŁEK;1084
ŁEBEK;1084
PODLASKI;1084
MIKUCKA;1083
FURMAŃCZYK;1083
SZCZECINA;1083
DRĄŻKIEWICZ;1082
GOLIS;1082
RYCZKOWSKI;1082
TARAS;1082
WAŁĘGA;1082
GNIAZDOWSKA;1081
PAZDAN;1081
ROSOŁOWSKI;1081
SZEFER;1081
DŁUŻNIEWSKA;1080
NAKIELSKA;1080
STRYJEWSKA;1080
JĘDRUSIK;1080
WIDAWSKA;1079
JAROSZYŃSKA;1078
WRONOWSKA;1078
DUNAJSKI;1078
KIEŁKOWSKI;1078
NAREWSKI;1078
ZIENTARA;1078
FALIŃSKA;1077
TRYBUS;1077
ZAŁĘCKA;1077
CIUPEK;1077
DUSZAK;1077
SZMIGIELSKI;1077
BECKER;1076
DMYTRUK;1076
SZAFRANEK;1076
CHLIPAŁA;1076
KANIOWSKI;1076
WINTER;1075
DŁUŻNIEWSKI;1075
DOMALEWSKI;1075
KIELISZEK;1075
KOBYLAŃSKI;1075
KOMOR;1075
MĘŻYK;1075
ŚWITOŃ;1075
CHILIŃSKA;1074
KOSZEWSKA;1074
LYTVYN;1074
RZEPKOWSKA;1074
TYLKA;1074
ZAŁĘCKI;1074
WORONIECKA;1073
BAJEK;1073
CHUDEK;1073
DERLATKA;1073
NATKANIEC;1073
POCIASK;1073
DUNAJSKA;1072
FELIKS;1072
OLESZKIEWICZ;1072
ŻURAW;1072
CZUB;1071
KORZEC;1071
KULPIŃSKI;1071
PRUSIŃSKA;1070
BARTECKI;1070
LI;1070
ŁAKOMIEC;1070
WALKOWICZ;1070
CZERNEK;1069
DAŁEK;1069
IWANOWICZ;1069
LASOCKI;1069
TRUSZCZYŃSKI;1069
POHL;1068
PYLYPENKO;1068
BILICKI;1068
PIASECZNY;1068
JACHIMOWSKA;1067
KIEŁKOWSKA;1067
CHRUŚCIŃSKI;1067
CZERNIEJEWSKI;1067
SOŁOWIEJ;1067
WILAMOWSKI;1067
ANTKIEWICZ;1066
DYRCZ;1066
KĘSICKI;1066
MIKUCKI;1066
NOWORYTA;1066
OGIŃSKA;1065
KUPISZ;1065
MIKOŚ;1065
OSAK;1065
TALARCZYK;1065
WIJAS;1065
RADCHENKO;1064
BERNACIAK;1064
KRZANOWSKI;1064
PRUSACZYK;1064
MUSIAŁOWSKA;1063
SZUMOWSKA;1063
GŁOWALA;1063
JĘDRYSIAK;1063
LEŚNY;1063
MOLIŃSKI;1063
SAWKA;1063
STRÓZIK;1063
HNATIUK;1062
TYMOSHENKO;1062
GLEŃ;1062
KOMARNICKA;1061
ZAITSEVA;1061
RĘBACZ;1061
ROGACZEWSKI;1061
JÓZEFOWSKA;1060
PRUSZKOWSKA;1060
SANECKA;1060
ZIEMIAŃSKA;1060
NIŻNIK;1060
POCHEĆ;1060
TOBOLSKA;1059
KUŚMIREK;1059
STEFAN;1059
BAGROWSKA;1058
PŁOCHOCKA;1058
KASZUBSKI;1058
URBANIEC;1058
WOJNICKI;1058
WYSZKOWSKI;1057
JEZNACH;1056
NAREWSKA;1056
CZERWIK;1056
KOMOREK;1056
KORCZYK;1056
MIŚTA;1056
SIATKOWSKI;1056
KOCEMBA;1055
DYDUCH;1055
GROCHALA;1055
LEŚKIEWICZ;1055
MAIK;1055
SMYCZEK;1054
PIKULSKI;1054
RABENDA;1054
SEROKA;1054
TARASZKIEWICZ;1054
BORYSIUK;1053
JONCZYK;1053
KOBA;1053
OGIŃSKI;1053
SUS;1053
CEGLARSKA;1052
CZERNIEJEWSKA;1052
KANIOWSKA;1052
PIEPRZYK;1052
GOŹDZIEWSKI;1052
HRYCIUK;1052
KASZUBSKA;1051
KLUKOWSKA;1051
BŁAWAT;1051
GALEWSKI;1051
MIAZEK;1051
NASKRĘT;1051
RADEK;1051
KWAS;1050
ŁABĘCKI;1050
MATYJASIK;1050
HONCHAR;1049
HRYNIEWICKA;1049
JURECKA;1049
MUSIK;1049
PŁOSKA;1049
WOJTANOWSKA;1049
PODLASKA;1048
ZASTAWNY;1048
BILICKA;1047
BULA;1047
CICHOWICZ;1047
DOŁĘGOWSKI;1047
WANTUCH;1047
DULSKA;1046
DZIERŻANOWSKA;1046
JEŻAK;1046
PIORUN;1046
REWERS;1046
BILYK;1045
DRZYZGA;1045
SHAPOVALOVA;1045
GNIEWEK;1045
KACHNIARZ;1045
KORYCIŃSKI;1045
RĄCZKOWSKI;1045
RĘKAWEK;1045
STODULSKI;1045
TARASEWICZ;1045
CHRUŚCIŃSKA;1044
CHORZĘPA;1044
SIENIAWSKI;1044
SZCZUPAK;1044
ZHANG;1044
KĘSICKA;1043
MOLIŃSKA;1043
SAPIŃSKA;1043
DYBEK;1043
OWCZARZ;1043
ABRAMOWSKA;1042
MODLIŃSKI;1042
CHLUDZIŃSKA;1041
RAJCHEL;1041
CAŁA;1040
KOMOSA;1040
JÓŹWICKA;1039
ZYCHOWICZ;1039
BAGROWSKI;1039
BYLICA;1039
KOSZEWSKI;1039
SOPEL;1039
TRYBA;1039
ORLOVA;1038
DZIERŻANOWSKI;1038
WĄŻ;1038
JUST;1037
TARAN;1037
KOTLARSKI;1037
OSIKA;1037
MACHNICKA;1036
PIKULSKA;1036
BRANICKI;1036
KIEŁBOWICZ;1036
NAJDER;1036
SZAŁEK;1036
FUDALA;1035
OPIELA;1035
RYBAKOWSKI;1035
SADECKI;1035
KRZANOWSKA;1034
CHĄDZYŃSKI;1034
CIEŚLUK;1034
MADALIŃSKI;1034
SANECKI;1034
BIAŁCZAK;1033
ŁYCZKO;1033
WAWRZYŃSKI;1033
WOJTYCZKA;1033
ZAGAJEWSKI;1033
POLIAKOVA;1032
DULSKI;1032
OSTOJSKI;1032
PLEWIŃSKI;1032
STEPNOWSKI;1032
GOŹDZIEWSKA;1031
KORSAK;1031
SIENIAWSKA;1031
GROCHOCKI;1031
PLEWIŃSKA;1030
GROCHOLSKI;1030
ŚWIST;1030
IWASZKIEWICZ;1029
KULEJ;1029
CHĄDZYŃSKA;1028
WOŁOWSKA;1028
BAŁUT;1028
KWOKA;1028
PIEKUTOWSKI;1028
SŁOMCZYŃSKI;1028
SERDIUK;1027
JADACH;1027
JANCZURA;1027
MACURA;1027
MIKLASZEWSKI;1027
SIWICKI;1027
TWARDY;1027
WOŁOWSKI;1027
MADALIŃSKA;1026
MIKLASZEWSKA;1026
MISZTELA;1026
WERESZCZYŃSKA;1026
ZAGAJEWSKA;1026
KAMECKI;1026
KRZESZEWSKI;1026
POLANOWSKA;1025
STEPANOVA;1025
ŁOZA;1024
BEDNARCZUK;1024
GLUZA;1024
LATKOWSKI;1024
OWSIANKA;1024
PASIŃSKI;1024
ZIEMIAŃSKI;1024
PIASECZNA;1023
POZORSKA;1023
RUDYK;1023
KOLBUSZ;1023
LASECKI;1023
LIZOŃ;1023
MATUSZ;1023
NIEPSUJ;1023
PAVLOV;1023
OSTAPIUK;1022
PASIŃSKA;1022
SZABELSKA;1022
MALARZ;1022
NOVIKOV;1022
OBUCHOWSKI;1022
POLANOWSKI;1022
RUCHAŁA;1022
TRAN;1022
DERKACH;1021
POROWSKA;1021
SIATKOWSKA;1021
ŻMUDZIŃSKA;1021
KRZYKOWSKI;1021
MAJCHEREK;1021
MATERNA;1021
PAZIEWSKI;1021
KIN;1020
SADECKA;1020
BUŁAT;1020
ZAŁOGA;1020
DOŁĘGOWSKA;1019
SEMENOVA;1019
RADZKI;1019
SUTKOWSKI;1019
WICIK;1019
BRANICKA;1018
KOTLARSKA;1018
LATKOWSKA;1018
BIGUS;1018
DAWIDZIUK;1018
SZLAGA;1018
TYRKA;1018
SATERNUS;1017
STEPNOWSKA;1017
KONCEWICZ;1017
LASAK;1017
LEGUTKO;1017
WERESZCZYŃSKI;1017
BECZEK;1016
DESKA;1016
SITAREK;1016
WOJTYNIAK;1016
RUTKIEWICZ;1015
BRONK;1015
PYRKA;1015
SEROCZYŃSKI;1015
SZABELSKI;1015
DIDENKO;1014
KOZLOVA;1014
ŁABĘCKA;1014
RĄCZKOWSKA;1014
FIEDOR;1014
GAJOWNICZEK;1014
JÓŹWICKI;1014
KRUSZYNA;1014
RADKIEWICZ;1014
EKIERT;1013
BŁACHOWICZ;1013
BORÓWKA;1013
GLAPA;1013
KOLANOWSKI;1013
MACHNICKI;1013
NAJDEK;1013
WIEJAK;1013
WILAMOWSKA;1012
KASZEWSKI;1012
KOŁCZ;1012
MARTYNA;1012
MIERZYŃSKI;1012
NIEDBALSKI;1012
KOLANOWSKA;1011
STEFANEK;1011
VELYCHKO;1011
GMEREK;1011
JASKÓŁKA;1011
SKRZEK;1011
SAWICZ;1010
NAUMOWICZ;1010
NITECKI;1010
ZYBAŁA;1010
ŻMUDZIŃSKI;1010
DENIS;1009
MAJCHROWICZ;1009
MARKUSZEWSKA;1009
OSTOJSKA;1009
KAŁUSKI;1009
MICHAŁKIEWICZ;1009
PRUŚ;1009
JORDAN;1008
BAKUN;1008
KUSAK;1008
SERWIN;1008
ROGACZEWSKA;1007
PRZEWOŹNIK;1007
RÓJ;1007
SEROCZYŃSKA;1006
DORSZ;1006
REDA;1006
STRACH;1006
SUCHOMSKI;1006
ŚCISŁOWSKI;1006
WACŁAWSKI;1006
KAMECKA;1005
KRZYKOWSKA;1005
SZOŁTYSIK;1005
NOGALSKI;1005
DOMALEWSKA;1004
HUSAK;1004
MATUSZKIEWICZ;1004
SUCHARSKA;1004
KORDAS;1004
ŁASZKIEWICZ;1004
WORONIECKI;1004
ZDYBEL;1004
BABII;1003
BRYŁKA;1003
ĆWIERTNIA;1003
KNITTER;1003
PODYMA;1003
PRZYDATEK;1003
STASZCZAK;1003
TRYBUŁA;1003
KUŹMICKA;1002
ROSOŁOWSKA;1002
ARENT;1002
JAGUSIAK;1002
MARCHEL;1002
STEFANIK;1002
GALEWSKA;1001
MATVIICHUK;1001
KAJDA;1001
MISIEK;1001
DYMIŃSKA;1000
GĘBICKA;1000
GOSTKOWSKA;1000
LORENZ;1000
AMBROŻY;1000
KACPROWICZ;1000
MAŁYSZKO;1000
PODSTAWKA;1000
SMOLIK;1000
SOKOLOV;1000
POPCZYK;999
GARBARCZYK;999
MIERZYŃSKA;998
TOPOROWSKA;998
WARDZIŃSKA;998
BAJERSKI;997
KHAN;997
SUCHARSKI;997
TALAR;996
ALIEV;996
FILIPSKI;996
JURAK;996
WODNICKA;995
BRZĘCZEK;995
CEGŁOWSKI;995
POROWSKI;995
ŚWIĄTCZAK;995
TWORKOWSKI;995
KOROLCZUK;994
KRZESZEWSKA;994
ANISZEWSKI;994
BORZYSZKOWSKI;994
CZYŻYK;994
PAŁUBICKI;994
JASKOT;993
OCHMAŃSKA;993
SIEROCKI;993
GROCHOLSKA;992
OLECHNOWICZ;992
RYCZKOWSKA;992
BŁĘDOWSKI;992
GRYGORUK;992
NIERADKA;992
STANISŁAWCZYK;991
CZEKAŃSKI;991
KALISZUK;991
MAKUŁA;991
MIKLAS;991
FILIPSKA;990
CZYŻAK;990
MOLIK;990
STRZĘPEK;990
TCHÓRZ;990
GROCHOCKA;989
OBUCHOWSKA;989
POLACZEK;989
CUDAK;989
GUZIŃSKI;989
KIRAGA;989
KUŹMICKI;989
MULARSKI;989
PĘDZICH;989
POŁCZYŃSKI;989
GĘBICKI;988
JAGUŚ;988
SEREMAK;988
BONDARUK;987
KASZEWSKA;987
MODLIŃSKA;987
SŁOMCZYŃSKA;987
ŁYŻWA;987
NOWACZEK;987
WAGA;987
CIEŚLICKA;986
SIWICKA;986
SKULSKA;986
BRULIŃSKI;986
DOBIES;986
GLINIECKI;986
HOŁOWNIA;986
JEZIOREK;986
MAKARA;986
PAPAJ;986
STATKIEWICZ;986
SZYMASZEK;986
WOJTYNA;986
STODULSKA;985
STRASZEWSKA;985
SUCHOMSKA;985
SZUMIŃSKA;985
WACŁAWSKA;985
BUGAŁA;985
GZIK;985
ŁYSEK;985
STASZEK;985
ŚWIEBODA;985
WAWRZAK;985
ZYGADŁO;985
KIESZKOWSKA;984
RYBAKOWSKA;984
GRZEŚKIEWICZ;984
OCHMAŃSKI;984
STAROWICZ;984
ZIEMNIAK;984
GROCHULSKA;983
BRYCH;983
MATOGA;983
PŁOSKONKA;983
SZYMICZEK;983
BOGUS;982
CHROSTEK;982
FRANEK;982
MOLĘDA;982
PIECZARA;982
SANOCKI;982
MARIAŃSKA;981
MIANOWSKA;981
ŚCISŁOWSKA;981
BARTOSIŃSKI;981
IGIELSKI;981
PAWEŁCZAK;981
ZGODA;981
STALA;980
STRĘK;980
CIEŚLICKI;980
KOSIERADZKI;980
KUBISIAK;980
PAŹ;980
ROSŁANIEC;980
ROSZCZYK;980
SKROBISZ;980
TYMOSZUK;980
WARDZIŃSKI;980
NITECKA;979
PAZIEWSKA;979
KUDLIŃSKI;979
MARIAŃSKI;979
SKORUPIŃSKI;979
CEGŁOWSKA;978
BALON;978
CIBA;978
DWORZYŃSKI;978
DZIDA;978
KONOPIŃSKI;978
OLKIEWICZ;978
ŚWIERKOWSKI;978
CZEKAŃSKA;977
WAWRZYŃSKA;977
GOSTKOWSKI;977
POZORSKI;977
BRACH;976
KUZNIETSOVA;976
MALESZEWSKA;976
MARTYNENKO;976
GRZENKOWICZ;976
IWANIAK;976
KILIŃSKA;975
KULPIŃSKA;975
NOWOK;975
SUTKOWSKA;975
BUKOWIEC;975
SIEMBIDA;975
ZALAS;975
ZIARKOWSKI;975
SONDEJ;974
ZAPOTOCZNA;974
CHWIAŁKOWSKI;974
MILEWICZ;974
PIASTA;974
POLEK;974
SKROBEK;974
SZYMCZUK;974
PETRYK;973
PLOCH;973
GŁUSZAK;973
MIARKA;973
PAJEWSKI;973
PIASEK;973
SOBKOWICZ;973
SYKUŁA;973
ZAWIŁA;973
CIĘŻKA;972
GUZIŃSKA;972
KAMIONKA;972
KOSIERADZKA;972
ŁUKASZYK;972
SZAFARCZYK;972
KAŁUZIŃSKI;972
MIANOWSKI;972
OWSIANY;972
SZYMALA;971
KROGULEC;971
OLEWIŃSKI;971
KONOPIŃSKA;970
KUCHER;970
PODGÓRNA;970
TYSHCHENKO;970
BUJOK;970
KOPCIŃSKI;970
SOKAL;970
HERBUT;969
SAJ;969
KAROLCZYK;969
DANILEWICZ;968
ELIASZ;968
KACA;968
RYCHEL;968
WŁOSEK;968
GRUNWALD;967
MULARSKA;967
PALMOWSKA;967
BAJKOWSKI;967
DYMIŃSKI;967
JAKÓBCZAK;967
KORECKI;967
KORNILUK;967
KOSTUCH;967
ŁEMPICKI;967
MUNIAK;967
PALMOWSKI;967
SAPIŃSKI;967
TOPOROWSKI;967
BARTOSIŃSKA;966
KRÓLICKA;966
NIEDBALSKA;966
SITNIK;966
KUMAR;966
LENDZION;966
SMOK;966
PAWIŃSKA;965
SZUSZKIEWICZ;965
CHĘĆ;965
CZUBEK;965
GAŃKO;965
GRYGIER;965
KACAŁA;965
KOWALEWICZ;965
PARA;965
BOSEK;964
DROŻDŻYŃSKI;964
KADŁUBOWSKI;964
KILIŃSKI;964
KUŹMICZ;964
LALIK;964
RELIGA;964
RUTYNA;964
SZOZDA;964
ŚCIGAŁA;964
