surname;count
ROMANOWSKA;11968
RATAJCZAK;11873
WILCZYŃSKI;11871
MATUSZEWSKA;11864
WILCZYŃSKA;11859
ROMANOWSKI;11817
MICHALIK;11788
ŚWIĄTEK;11787
OWCZAREK;11728
ORZECHOWSKI;11700
KUROWSKI;11698
GRZELAK;11668
OLEJNIK;11575
RYBAK;11548
ŁUKASIK;11528
ORZECHOWSKA;11491
KUROWSKA;11430
SOBOLEWSKA;11407
SOBOLEWSKI;11359
MAZURKIEWICZ;11353
BUKOWSKI;11352
ROGOWSKI;11345
SROKA;11270
KĘDZIERSKI;11264
BUKOWSKA;11256
MATUSIAK;11247
KOSIŃSKI;11210
ROGOWSKA;11194
BARAŃSKI;11194
KĘDZIERSKA;11148
BARAŃSKA;11143
CZAJKA;11070
KOSIŃSKA;11022
SOBCZYK;11000
KOZIEŁ;10983
MARSZAŁEK;10953
MARCINKOWSKI;10951
ZYCH;10945
SKOWROŃSKI;10923
SKOWROŃSKA;10869
MARCINKOWSKA;10854
CHRZANOWSKI;10850
BEDNARSKA;10789
LISOWSKI;10773
BEDNARSKI;10771
BEDNARZ;10701
JANISZEWSKA;10680
KASPRZYK;10645
ŚWIDERSKI;10643
LISOWSKA;10642
PLUTA;10640
JANISZEWSKI;10626
CHRZANOWSKA;10620
KWIECIEŃ;10558
BIAŁEK;10531
MARCZAK;10522
ŚWIDERSKA;10521
KUCZYŃSKI;10514
MUSZYŃSKI;10511
MORAWSKA;10470
JĘDRZEJEWSKI;10442
WITEK;10422
MORAWSKI;10415
PALUCH;10414
CZECH;10401
GRZYBOWSKI;10399
TUREK;10379
MUSZYŃSKA;10378
KUCZYŃSKA;10365
CZAJA;10350
CHMIEL;10251
ŻUKOWSKI;10247
DĘBSKI;10246
GRZYBOWSKA;10215
MARZEC;10205
KACZOR;10204
CIEŚLIK;10193
OSIŃSKA;10192
JĘDRZEJEWSKA;10126
MAŁEK;10124
OSIŃSKI;10114
KUBICKI;10105
PIEKARSKI;10098
KRZEMIŃSKA;10025
DĘBSKA;10000
SZCZĘSNY;9973
KUBICKA;9968
MICHAŁOWSKA;9952
KRZEMIŃSKI;9947
ŻUKOWSKA;9940
ŚLIWA;9926
PIEKARSKA;9897
JANOWSKI;9871
STEFANIAK;9870
JANOWSKA;9855
RAK;9843
PRZYBYSZ;9840
BIERNACKI;9833
GOŁĘBIEWSKI;9830
MICHAŁOWSKI;9800
KULESZA;9728
LECH;9726
SZYDŁOWSKI;9688
BIERNACKA;9684
SMOLIŃSKI;9678
KACPRZAK;9669
SZYDŁOWSKA;9659
LEWICKI;9654
KUJAWA;9629
STANISZEWSKI;9609
STANISZEWSKA;9601
CZYŻ;9601
MURAWSKI;9589
LEWICKA;9569
NIEMIEC;9569
RUDNICKI;9565
DROZD;9555
RUDNICKA;9549
AUGUSTYNIAK;9549
GÓRA;9534
GOŁĘBIEWSKA;9533
BANACH;9521
POPŁAWSKI;9512
PIETRZYK;9511
POPŁAWSKA;9506
PIĄTKOWSKI;9455
ŻUREK;9436
SERAFIN;9421
MURAWSKA;9395
SMOLIŃSKA;9379
PODGÓRSKA;9352
GÓRNY;9348
PIĄTKOWSKA;9338
MATYSIAK;9333
GOŁĘBIOWSKI;9311
SOWIŃSKI;9306
STACHOWIAK;9299
PODGÓRSKI;9282
KARCZEWSKI;9274
SOWIŃSKA;9253
BANAŚ;9241
ZAWADA;9221
GOŁĘBIOWSKA;9185
KLIMCZAK;9168
ŻURAWSKI;9143
ROSIŃSKI;9141
KARCZEWSKA;9058
BIENIEK;9047
ROSIŃSKA;9045
GÓRKA;9036
CYBULSKI;9023
GODLEWSKI;8971
GRUSZKA;8963
KUŚ;8924
GODLEWSKA;8913
KOMOROWSKA;8893
CYBULSKA;8887
ŻURAWSKA;8873
PRZYBYŁA;8840
GROCHOWSKI;8833
SKRZYPCZAK;8832
CICHOŃ;8759
KOMOROWSKI;8754
KRAWIEC;8737
SZCZĘSNA;8735
KULIK;8734
CICHOCKI;8730
PTAK;8730
CICHOCKA;8703
GROCHOWSKA;8700
PANEK;8700
GIL;8696
SIWEK;8679
RÓŻAŃSKI;8582
NIEWIADOMSKI;8581
RÓŻAŃSKA;8558
MIELCZAREK;8544
WINIARSKI;8531
WINIARSKA;8494
KONOPKA;8486
GRACZYK;8467
NIEWIADOMSKA;8465
SŁOWIK;8416
GRZYB;8403
SZCZEPANIK;8393
KRZYŻANOWSKI;8377
KŁOS;8376
ZAREMBA;8376
KRZYŻANOWSKA;8372
FILIPIAK;8371
ZARZYCKI;8345
LEŚNIEWSKA;8318
LEŚNIEWSKI;8317
STAŃCZYK;8311
ANTCZAK;8279
TOKARSKI;8250
MŁYNARCZYK;8241
STRZELECKA;8214
TOKARSKA;8208
SZYMCZYK;8201
CIEŚLA;8178
MIKOŁAJCZAK;8176
ZARZYCKA;8164
KACZYŃSKI;8158
STRZELECKI;8152
SKOWRON;8123
BUCZEK;8105
MAĆKOWIAK;8093
GĄSIOR;8030
BIERNAT;8015
JUREK;8009
JANUS;8004
SZOSTAK;7990
BARTKOWIAK;7966
SZCZYGIEŁ;7934
JANIAK;7931
KACZYŃSKA;7928
BOGUSZ;7909
WĘGRZYN;7900
GÓRNA;7886
KULA;7872
GAWRON;7862
KOSTRZEWA;7853
PAŁKA;7848
KALETA;7845
KUCHARCZYK;7837
RAKOWSKI;7825
FRĄCZEK;7824
KSIĄŻEK;7803
DŁUGOSZ;7800
BARTCZAK;7797
KUBIK;7789
BANASIAK;7761
SIENKIEWICZ;7743
RÓŻYCKI;7708
RAKOWSKA;7696
RZEPKA;7693
KRÓLIKOWSKA;7655
KRÓLIKOWSKI;7645
BAGIŃSKI;7620
GAWLIK;7599
RÓŻYCKA;7560
DOBOSZ;7558
ZARĘBA;7551
MALEC;7532
ROGALSKI;7522
ŻEBROWSKI;7511
TRZCIŃSKI;7509
ROGALA;7489
TKACZYK;7489
WITCZAK;7455
ŻEBROWSKA;7440
BAGIŃSKA;7433
ROGALSKA;7420
HAJDUK;7410
ROJEK;7395
KISIEL;7385
GAWROŃSKI;7375
GRZEGORCZYK;7337
MIKULSKI;7329
MELNYK;7319
RYBICKI;7317
MIKULSKA;7315
CICHY;7296
GAWROŃSKA;7284
TROJANOWSKA;7281
TROJANOWSKI;7281
TRZCIŃSKA;7278
WOLNY;7271
FRANKOWSKI;7258
MALISZEWSKI;7258
MALISZEWSKA;7257
FRANKOWSKA;7251
RYBICKA;7227
RADOMSKA;7189
LACH;7178
FRĄCKOWIAK;7177
WĄSIK;7177
NAWROT;7171
RADOMSKI;7170
DUDZIŃSKI;7154
DUDZIŃSKA;7123
BOREK;7106
KACZOROWSKI;7099
KACZOROWSKA;7085
FIJAŁKOWSKI;7062
GRZESIAK;7010
BIAŁAS;7007
MIKA;6998
GAŁĄZKA;6993
ŚLUSARCZYK;6990
FIJAŁKOWSKA;6983
STEC;6976
BOGUCKI;6974
LIPSKI;6963
BOGUCKA;6955
SOKÓŁ;6954
PAWELEC;6951
ZABOROWSKI;6931
WNUK;6928
CZYŻEWSKI;6918
KMIECIK;6891
ROSIAK;6888
WIĘCKOWSKI;6874
WOJTCZAK;6866
WALKOWIAK;6861
KWAŚNIEWSKI;6846
WIĘCKOWSKA;6844
CZYŻEWSKA;6842
WÓJCICKI;6841
ZABOROWSKA;6827
KWAŚNIEWSKA;6822
BOCHENEK;6818
DĄBEK;6806
LIPSKA;6793
KOŁODZIEJSKI;6724
JANAS;6701
BURZYŃSKI;6697
PIETRAS;6692
DRZEWIECKI;6688
WÓJCICKA;6684
KARWOWSKI;6683
ŻMUDA;6682
ZYGMUNT;6675
BURZYŃSKA;6674
KRYSIAK;6674
PASTERNAK;6674
MROCZEK;6667
JUSZCZAK;6664
LASOTA;6664
KARWOWSKA;6608
CEBULA;6601
KOŁODZIEJSKA;6593
SKRZYPEK;6589
JĘDRZEJCZYK;6574
WROŃSKI;6568
CYGAN;6565
KARAŚ;6561
KUBACKA;6557
SZAFRAŃSKA;6550
MISIAK;6550
FILIPEK;6549
ŁUKASIEWICZ;6546
GAWEŁ;6546
DĘBOWSKI;6537
GRUSZCZYŃSKI;6527
DZIUBA;6523
ŁAPIŃSKI;6523
DRZEWIECKA;6520
ZAJĄCZKOWSKA;6519
MASŁOWSKI;6504
GRUSZCZYŃSKA;6503
BUJAK;6490
FLIS;6487
SZAFRAŃSKI;6480
PIÓRKOWSKI;6479
WROŃSKA;6477
ZAJĄCZKOWSKI;6460
PIWOWARCZYK;6454
KAŁUŻA;6449
BIELAWSKI;6437
DĘBOWSKA;6420
FALKOWSKI;6420
JAGODZIŃSKI;6404
JĘDRZEJCZAK;6396
MASŁOWSKA;6394
BOROWIEC;6389
JAGIEŁŁO;6384
KRAKOWIAK;6383
JAGODZIŃSKA;6376
ZIELONKA;6361
CZAPLA;6355
GUTOWSKI;6354
KUBACKI;6348
BIELAWSKA;6344
ŁAPIŃSKA;6344
ŁUKASZEWSKI;6330
KAŁUŻNY;6327
SKIBIŃSKI;6326
LISIECKA;6316
LISIECKI;6306
WILCZEK;6284
STELMACH;6270
SOBIERAJ;6263
SOŁTYS;6255
JURKIEWICZ;6246
PIÓRKOWSKA;6244
FALKOWSKA;6232
KUBICA;6231
SKIBIŃSKA;6222
DROZDOWSKI;6219
JAKUBIAK;6217
TARNOWSKI;6214
SZCZEŚNIAK;6211
SKOCZYLAS;6205
WOŹNY;6204
TWARDOWSKA;6190
URBAŃCZYK;6180
RACZYŃSKI;6172
TWARDOWSKI;6167
ANDRZEJCZAK;6163
PAKUŁA;6161
WASIAK;6161
STRZELCZYK;6157
PILARSKI;6156
GUTOWSKA;6142
PILARSKA;6142
NOWACZYK;6138
RACZYŃSKA;6124
BARTOSIK;6119
GĄSIOROWSKI;6117
CISZEWSKI;6109
KĘDZIORA;6098
BOBER;6094
DROZDOWSKA;6087
CISZEWSKA;6082
ŁUKASZEWSKA;6068
DUBIEL;6049
MIERZEJEWSKI;6034
TARNOWSKA;6032
BILSKA;6021
BILSKI;6012
GUZIK;6010
GOŁĄB;5989
MAJCHER;5989
GÓRNIAK;5961
STANEK;5949
GĄSIOROWSKA;5937
MILCZAREK;5934
MIERZEJEWSKA;5925
KOPCZYŃSKI;5910
GÓRAL;5888
SZWED;5881
FLOREK;5880
WIĘCEK;5872
RUSIN;5869
STASZEWSKI;5852
MOTYKA;5850
CHOLEWA;5831
STOLARCZYK;5828
KRUPIŃSKI;5827
BURY;5814
KOPCZYŃSKA;5812
KAPUSTA;5803
STASZEWSKA;5793
MISZTAL;5788
KASZUBA;5784
MATUSZAK;5775
PYTEL;5774
JAŚKIEWICZ;5772
KULIG;5761
SŁOWIŃSKI;5761
BIAŁY;5752
GRZYWACZ;5751
WOLAK;5750
RUCIŃSKI;5744
KRUPIŃSKA;5738
KUCHTA;5721
KUC;5717
FLORCZAK;5716
SIEDLECKI;5700
JEZIERSKA;5690
SŁAWIŃSKA;5689
KAŁUŻNA;5682
PROKOP;5682
BOŻEK;5679
SŁOWIŃSKA;5673
SIERADZKI;5672
ZWOLIŃSKA;5668
NOGA;5666
PACZKOWSKI;5661
KACZMARSKA;5659
ZAGÓRSKA;5657
MALICKI;5655
KOZA;5650
ZAGÓRSKI;5646
MICHAŁEK;5643
SIEDLECKA;5641
KACZMARSKI;5640
WOJTAS;5639
DOMINIAK;5633
KĘPA;5625
ROMANIUK;5623
JEZIERSKI;5623
OLCZAK;5623
RUCIŃSKA;5614
JANKOWIAK;5611
ZWOLIŃSKI;5611
SKÓRA;5608
GWÓŹDŹ;5601
JACKOWSKA;5591
STĘPNIAK;5580
DUDZIAK;5575
GAŁKA;5574
SITEK;5566
PAWLIKOWSKA;5564
MODZELEWSKI;5562
BIELAK;5558
IWAŃSKI;5558
ŚWIERCZYŃSKI;5556
PŁONKA;5554
PARTYKA;5545
ADAMUS;5544
SOCHACKI;5539
SZYSZKA;5530
PACZKOWSKA;5528
BIEŃKOWSKI;5522
JACKOWSKI;5517
SŁAWIŃSKI;5516
DEC;5510
DOBRZYŃSKI;5502
SIERADZKA;5498
JANUSZ;5493
MALICKA;5492
PAWLIKOWSKI;5486
SOCHACKA;5482
DUDZIK;5482
MODZELEWSKA;5481
CZECHOWSKI;5471
ŚWIERCZYŃSKA;5463
KNAPIK;5460
BRODA;5457
IWAŃSKA;5451
JURKOWSKI;5442
STACHURA;5440
BIEŃKOWSKA;5430
KOLASA;5428
MAŃKOWSKI;5421
LIPKA;5415
ROSA;5409
SKALSKA;5404
FILIPOWICZ;5395
KWIECIŃSKI;5394
KOVALCHUK;5393
CZECHOWSKA;5377
KWIECIŃSKA;5374
WOŚ;5371
MROCZKOWSKI;5360
SZCZERBA;5360
JURKOWSKA;5343
DOBRZYŃSKA;5337
MAJKA;5331
STANISŁAWSKI;5331
ADAMCZAK;5326
ADAMEK;5312
PASZKOWSKI;5310
PASZKOWSKA;5309
SZATKOWSKI;5305
